feature,selected_frequency
freind1_rssi,1.0
delta_freind2_rssi_freind3_rssi,1.0
freind1_rssi_power_over_freind2_rssi,1.0
freind2_rssi_power_over_freind3_rssi,1.0
freind3_rssi_rssi_1m,1.0
freind3_rssi_power_over_freind2_rssi,1.0
freind3_rssi_power_over_freind1_rssi,1.0
freind2_rssi_power_over_freind1_rssi,1.0
freind2_rssi_over_freind1_rssi,0.8
freind1_rssi_power_over_freind3_rssi,0.8
freind3_rssi,0.8
n_est,0.6
freind1_rssi_share,0.6
freind3_rssi_share,0.4
freind1_rssi_rssi_1m,0.4
freind2_rssi_share,0.4
freind3_rssi_over_freind1_rssi,0.2
beta1_log10d,0.2
freind3_rssi_over_freind2_rssi,0.0
freind1_rssi_over_freind3_rssi,0.0
freind1_rssi_over_freind2_rssi,0.0
delta_freind1_rssi_freind2_rssi,0.0
freind2_rssi,0.0
delta_freind3_rssi_freind1_rssi,0.0
freind2_rssi_over_freind3_rssi,0.0
freind3_rssi_residual,0.0
freind2_rssi_residual,0.0
freind1_rssi_residual,0.0
freind2_rssi_rssi_1m,0.0
ap_intercepts_freind2_rssi,0.0
ap_intercepts_freind1_rssi,0.0
ap_intercepts_freind3_rssi,0.0
beta2_20log10f,0.0
