index,['feature']
freind1_rssi,1.0
delta_freind2_rssi_freind3_rssi,1.0
freind1_rssi_power_over_freind2_rssi,1.0
freind3_rssi_rssi_1m,1.0
freind3_rssi_power_over_freind2_rssi,1.0
freind3_rssi_power_over_freind1_rssi,1.0
freind2_rssi_power_over_freind3_rssi,1.0
freind2_rssi_power_over_freind1_rssi,1.0
freind1_rssi_power_over_freind3_rssi,1.1
freind3_rssi,1.2
freind2_rssi_share,1.5
freind1_rssi_share,2.0
freind2_rssi_over_freind1_rssi,2.0
n_est,2.4
freind3_rssi_over_freind2_rssi,3.9
freind1_rssi_over_freind2_rssi,3.9
freind2_rssi_over_freind3_rssi,3.9
freind3_rssi_over_freind1_rssi,4.2
freind3_rssi_share,4.4
freind1_rssi_rssi_1m,4.6
beta1_log10d,4.9
freind1_rssi_over_freind3_rssi,4.9
ap_intercepts_freind2_rssi,5.6
freind2_rssi_rssi_1m,5.7
freind3_rssi_residual,5.8
beta2_20log10f,5.9
ap_intercepts_freind3_rssi,6.1
ap_intercepts_freind1_rssi,6.3
freind2_rssi_residual,6.5
delta_freind1_rssi_freind2_rssi,7.0
delta_freind3_rssi_freind1_rssi,7.2
freind2_rssi,7.5
freind1_rssi_residual,7.5
