feature,importance
freind2_rssi_rssi_1m,2.7927687919243636
freind3_rssi_rssi_1m,2.716637008491733
freind2_rssi_residual,2.5449364843423514
freind3_rssi_residual,2.513084179230267
freind1_rssi_rssi_1m,2.445139292587158
freind1_rssi_residual,2.2596468172159927
freind3_rssi,2.210010896027284
freind2_rssi,2.1874003689492483
freind1_rssi_power_over_freind2_rssi,2.1320843134751617
freind2_rssi_power_over_freind1_rssi,2.123422759214111
freind1_rssi_power_over_freind3_rssi,1.9992124083354519
freind2_rssi_share,1.9826151495760465
freind2_rssi_power_over_freind3_rssi,1.9459147200039673
freind3_rssi_share,1.9185663477963424
beta1_log10d,1.8464623665959903
n_est,1.846462366595988
freind1_rssi_over_freind2_rssi,1.8307774724034556
freind1_rssi_over_freind3_rssi,1.807929363997792
freind1_rssi,1.7879980208909063
freind3_rssi_over_freind1_rssi,1.7829386251823187
freind2_rssi_over_freind1_rssi,1.773848207180586
delta_freind3_rssi_freind1_rssi,1.7734537369929833
delta_freind1_rssi_freind2_rssi,1.6548344547247908
freind1_rssi_share,1.6170005412110975
freind2_rssi_over_freind3_rssi,1.5848606503567821
freind3_rssi_power_over_freind1_rssi,1.576338351402208
freind3_rssi_over_freind2_rssi,1.5683914284114482
freind3_rssi_power_over_freind2_rssi,1.5537335495211597
ap_intercepts_freind2_rssi,1.5047274724409943
ap_intercepts_freind3_rssi,1.504055821284766
beta2_20log10f,1.5033337424878903
ap_intercepts_freind1_rssi,1.5030681295289494
delta_freind2_rssi_freind3_rssi,1.4198291576613136
